"hydro_plus_model_approach","Result Number","Article Title","Abstract","DOI...4","DOI...5","Author Full Names","Source Title","Author Keywords","Keywords Plus","Affiliations","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Article Number","...26"
FALSE,74,"Use of Seasonal Streamflow Forecasts for Flood Mitigation with Adaptive Reservoir Operation: A Case Study of the Chao Phraya River Basin, Thailand, in 2011","Predicting streamflow can help water managers make policy decisions for individual river basins. In 2011, heavy rainfall from May until October resulted in the largest flood event in the history of Thailand. This event created difficulty for water managers, who lacked information to make predictions. Studies on the 2011 Thai flood have proposed alternative reservoir operations for flood mitigation. However, no study to date has used predictive information to determine how to control reservoirs and mitigate such extreme floods. Thus, the objective of this study is to update and develop a method for using streamflow predictive data to support adaptive reservoir operation with the aim of mitigating the 2011 flood. The study area was the Chao Phraya River Basin, one of the most important basins in Thailand. We obtained predictive information from a hydrological model with a reservoir operation module using an ensemble of seasonal precipitation data from the European Centre for Medium-Range Weather Forecasts (ECMWF). The six-month ECMWF prediction period was used to support the operation plan for mitigating flooding in 2011 around each reservoir during the wet season. Decision-making for reservoir operation based on seasonal predictions was conducted on a monthly time scale. The results showed that peak river discharge decreased slightly, by around 4%, when seasonal predictive data were used. Moreover, changing the reservoir operation plan and using seasonal predictions decreased the peak river discharge by around 20%.","https://doi.org/10.3390/w12113210","10.3390/w12113210","Kompor, Wongnarin; Yoshikawa, Sayaka; Kanae, Shinjiro","WATER","adaptive reservoir operation; ECMWF predictive data; H08 model; reservoir operation; river management; streamflow prediction; Thailand","OPTIMIZATION MODEL; GENETIC ALGORITHM; SOIL-MOISTURE; CLIMATE; SKILL; PRECIPITATION",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2073-4441",NA,"WATER-SUI","Water","NOV",2020,"12","11",NA,NA,"3210",NA
FALSE,75,"Valuing Enhanced Hydrologic Data and Forecasting for Informing Hydropower Operations","Climate change is rapidly modifying historic river flows and snowpack conditions in the Sierra Nevada in California and other seasonally snow-covered mountains. Statistical forecasting methods based on regressing summer flow against spring snow water equivalent, precipitation, and antecedent runoff are thus becoming increasingly inadequate for water-resources decision making, which can lead to missed opportunities in maximizing beneficial uses, including the value of hydropower resources. An enhanced forecasting method using a process-based model and spatially distributed wireless sensor data offers more accurate runoff forecasts. In this paper, we assessed the forecasting accuracy of these two forecasting methods by applying them to two tributaries within the North Fork Feather River basin in California. The result shows the enhanced forecasting method having better accuracy than the statistical model. In addition, a hydropower simulation showed a considerable increase in energy value with the enhanced forecasting informing reservoir operations. The investment analysis on applying this method shows an average internal rate of return of 31% across all scenarios, making this forecasting method an attractive way to better inform water-related decisions for hydropower generation in the context of climate change.","https://doi.org/10.3390/w13162260","10.3390/w13162260","Guo, Han; Conklin, Martha; Maurer, Tessa; Avanzi, Francesco; Richards, Kevin; Bales, Roger","WATER","climate change; hydrology forecast; hydropower","CLIMATE-CHANGE IMPACTS",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2073-4441",NA,"WATER-SUI","Water","AUG",2021,"13","16",NA,NA,"2260",NA
FALSE,76,"A Near-Term Iterative Forecasting System Successfully Predicts Reservoir Hydrodynamics and Partitions Uncertainty in Real Time","Freshwater ecosystems are experiencing greater variability due to human activities, necessitating new tools to anticipate future water quality. In response, we developed and deployed a real-time iterative water temperature forecasting system (FLARE-Forecasting Lake And Reservoir Ecosystems). FLARE is composed of water temperature and meteorology sensors that wirelessly stream data, a data assimilation algorithm that uses sensor observations to update predictions from a hydrodynamic model and calibrate model parameters, and an ensemble-based forecasting algorithm to generate forecasts that include uncertainty. Importantly, FLARE quantifies the contribution of different sources of uncertainty (driver data, initial conditions, model process, and parameters) to each daily forecast of water temperature at multiple depths. We applied FLARE to Falling Creek Reservoir (Vinton, Virginia, USA), a drinking water supply, during a 475-day period encompassing stratified and mixed thermal conditions. Aggregated across this period, root mean square error (RMSE) of daily forecasted water temperatures was 1.13 degrees C at the reservoir's near-surface (1.0 m) for 7-day ahead forecasts and 1.62 degrees C for 16-day ahead forecasts. The RMSE of forecasted water temperatures at the near-sediments (8.0 m) was 0.87 degrees C for 7-day forecasts and 1.20 degrees C for 16-day forecasts. FLARE successfully predicted the onset of fall turnover 4-14 days in advance in two sequential years. Uncertainty partitioning identified meteorology driver data as the dominant source of uncertainty in forecasts for most depths and thermal conditions, except for the near-sediments in summer, when model process uncertainty dominated. Overall, FLARE provides an open-source system for lake and reservoir water quality forecasting to improve real-time management.","https://doi.org/10.1029/2019WR026138","10.1029/2019WR026138","Thomas, R. Quinn; Figueiredo, Renato J.; Daneshmand, Vahid; Bookout, Bethany J.; Puckett, Laura K.; Carey, Cayelan C.","WATER RESOURCES RESEARCH","data assimilation; ecological forecasting; ensemble Kalman filter; FLARE; General Lake Model; water temperature","ENSEMBLE KALMAN FILTER; WATER TEMPERATURE; DATA ASSIMILATION; LAKE; MODELS; STRATIFICATION; WITHDRAWAL; SENSITIVITY; NETWORK; LINKING",NA,"AMER GEOPHYSICAL UNION","WASHINGTON","2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA","0043-1397","1944-7973",NA,"WATER RESOUR RES","Water Resour. Res.","NOV",2020,"56","11",NA,NA,"e2019WR026138",NA
FALSE,77,"Coupling large-scale climate indices with a stochastic weather generator to improve long-term streamflow forecasts in a Canadian watershed","This paper aims at improving long-term streamflow forecasts by implementing a novel technique based on conditioning the parameters of a stochastic weather generator on large-scale climate indices, with varying lengths of training periods during the establishment of correlations. The most important climate indices are identified by looking at yearly correlations between a set of 40 indices and meteorological data (precipitation and temperature) at the watershed scale. A linear model is then constructed to identify precipitation and temperature anomalies to induce perturbations in the stochastic weather generator. Time windows of 5, 10, 15, 20 and 30 years are used in determining the optimal linear model. The performance of the proposed approach is assessed against that of a resampling of past climatology and using the same stochastic weather generator unconditioned on climate indices. Each member of the ensemble weather forecast is then fed to a hydrological model to create the Ensemble Streamflow Forecasts (ESF) with a one-year forecasting horizon. The three approaches are tested in hindcast mode over a 30-year period at 12 forecast dates. Results show that temperatures are significantly correlated with large-scale climate indices, whereas precipitation is only weakly related to the same indices. The length of the time window has a considerable impact on the prediction ability of the linear models. The precipitation models based on short duration time windows performed better than those based on longer windows, while the reverse was found for the temperature models. A comparison between all three Ensemble Streamflow Forecast approaches is assessed using the Continuous Ranked Probability Score (CRPS) metric. Results show that the proposed method improves long-term streamflow forecasting, particularly the volumetric bias and the peak flows during the spring flood.","https://doi.org/10.1016/j.jhydrol.2020.125925","10.1016/j.jhydrol.2020.125925","Sohrabi, Samaneh; Brissette, Francois P.; Arsenault, Richard","JOURNAL OF HYDROLOGY","Long-term streamflow forecast; Large-scale climate indices; Stochastic weather generator; Non-stationarity","LOW-FREQUENCY VARIABILITY; ENSEMBLE KALMAN FILTER; MODEL PARAMETERS; PRECIPITATION; PREDICTION; TEMPERATURE; SIMULATION; TIME; IMPACTS; ENSO",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0022-1694","1879-2707",NA,"J HYDROL","J. Hydrol.","MAR",2021,"594",NA,NA,NA,"125925",NA
FALSE,78,"Research of reservoir watershed fine zoning and flood forecasting method","Flood disaster is an important threat to the safe operation of reservoirs. Accurate flood forecasting can provide important information for optimal reservoir operation. Generally, the characteristic of precipitation spatial distribution is analyzed based on observation of several discreet preset stations. This cannot catch the rainstorm center all the time and will lead to deviation in the characteristic of precipitation spatial distribution. Therefore, it can hardly arrive at optimal sub-watershed delineation and flood modeling. Therefore, a novel method is proposed for analysis of characteristic of precipitation spatial distribution in consideration of rainfall distribution and the delay of rainfall-runoff concentration. Based on the analysis results of precipitation spatial distribution, several key sub-basins which have significant impact on the flood process can be recognized. And then the elaborate sub-watershed delineation and flood modeling approach is put forward consequently on these key sub-basins. The efficacy of the proposed method is estimated on the flood forecasting of Zhexi reservoir watershed. The results verify that the proposed method can significantly improve the flood forecasting precision, which can provide important decision-making basis for reservoir operation.","https://doi.org/10.1007/s11069-017-3017-x","10.1007/s11069-017-3017-x","Lu, Jiazheng; Guo, Jun; Yang, Li; Xu, Xunjian","NATURAL HAZARDS","Reservoir watershed; Flood forecasting; Sub-watershed delineation; Nash coefficient","ARTIFICIAL NEURAL-NETWORK; XINANJIANG MODEL; OPTIMIZATION",NA,"SPRINGER","NEW YORK","233 SPRING ST, NEW YORK, NY 10013 USA","0921-030X","1573-0840",NA,"NAT HAZARDS","Nat. Hazards","DEC",2017,"89","3","1291","1306",NA,NA
FALSE,79,"A C-Vine Copula-Based Quantile Regression Method for Streamflow Forecasting in Xiangxi River Basin, China","In this study, a C-vine copula-based quantile regression (CVQR) model is proposed for forecasting monthly streamflow. The CVQR model integrates techniques for vine copulas and quantile regression into a framework that can effectively establish relationships between the multidimensional response-independent variables as well as capture the upper tail or asymmetric dependence (i.e., upper extreme values). The CVQR model is applied to the Xiangxi River basin that is located in the Three Gorges Reservoir area in China for monthly streamflow forecasting. Multiple linear regression (MLR) and artificial neural network (ANN) are also compared to illustrate the applicability of CVQR. The results show that the CVQR model performs best in the calibration period for monthly streamflow prediction. The results also indicate that MLR has the worst effects in extreme quantile (flood events) and confidence interval predictions. Moreover, the performance of ANN tends to be overestimated in the process of peak prediction. Notably, CVQR is the most effective at capturing upper tail dependences among the hydrometeorological variables (i.e., floods). These findings are very helpful to decision-makers in hydrological process identification and water resource management practices.","https://doi.org/10.3390/su13094627","10.3390/su13094627","Li, Huawei; Huang, Guohe; Li, Yongping; Sun, Jie; Gao, Pangpang","SUSTAINABILITY","streamflow forecasting; C-vine copula; quantile regression; joint dependencies; water resource management","WATER-RESOURCES MANAGEMENT; SUPPORT VECTOR REGRESSION; MODEL; SIMULATION; PRECIPITATION; DECOMPOSITION; OPTIMIZATION; UNCERTAINTY; PREDICTION; OPERATION",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2071-1050",NA,"SUSTAINABILITY-BASEL","Sustainability","MAY",2021,"13","9",NA,NA,"4627",NA
FALSE,81,"Forecasting the evolution in the mixing regime of a deep subalpine lake under climate change scenarios through numerical modelling (Lake Maggiore, Northern Italy/Southern Switzerland)","The impact of air temperature rise is eminent for the large deep lakes in the Italian subalpine district, climate change being caused there by both natural phenomena and anthropogenic greenhouse-gases (GHG) emissions. These oligomictic lakes are experiencing a decrease in the frequency of winter full turnover and an intensification of stability. As a result, hypolimnetic oxygen concentrations are decreasing and nutrients are accumulating in bottom water, with effects on the whole ecosystem functioning. Forecasting the future evolution of the mixing pattern is relevant to assess if a reduction in GHG releases would be able to revert such processes. The study focuses on Lake Maggiore, for which the thermal structure evolution under climate change in the 2016-2085 period was assessed through numerical simulations, performed with the General Lake Model (GLM). Different prospects of regional air temperature rise were considered, given by the Swiss Climate Change Scenarios CH2011. Multiple realisations were performed for each scenario to obtain robust statistical predictions, adopting random series of meteorological data produced with the Vector-Autoregressive Weather Generator (VG). Results show that a reversion in the increasing thermal stability would be possible only if global GHG emissions started to be reduced by similar to 2020, allowing an equilibrium mixing regime to be restored by the end of the twenty-first century. Otherwise, persistent lack of complete-mixing, severe water warming and extensive effects on water quality are to be expected for the centuries to come. These projections can be extended to the other lakes in the subalpine district.","https://doi.org/10.1007/s00382-018-4094-6","10.1007/s00382-018-4094-6","Fenocchi, Andrea; Rogora, Michela; Sibilla, Stefano; Ciampittiello, Marzia; Dresti, Claudia","CLIMATE DYNAMICS","Climate change impact; Inland waters warming; Hydrodynamic modelling; Full turnover; Swiss climate change scenarios CH2011; Weather generator","TEMPERATURE PROFILES; WATER TEMPERATURES; THERMAL STRUCTURE; LAGO MAGGIORE; PHYTOPLANKTON; VARIABILITY; SIMULATION; STRATIFICATION; IMPACT; DYRESM",NA,"SPRINGER","NEW YORK","ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","0930-7575","1432-0894",NA,"CLIM DYNAM","Clim. Dyn.","NOV",2018,"51","9-10","3521","3536",NA,NA
FALSE,82,"Forecasting Water Inflow into the Tsimlyansk Reservoir during Spring Flood under Current Climate Conditions: Problems and Reproducibility","Studies of water balance and variations of water regime of rivers in the Don Basin have shown a steady trend toward a decrease in spring flood volumes and an increase in runoff volume in winter since the mid-1980s. More frequent thaws have resulted in that snowmelt runoff formation can be seen almost throughout winter. A decrease in soil moisture content in the late October along with a decrease in the maximal freezing depth in the major portion of the basin increases water losses during thaws and at the early stages of spring flood. At a considerable decrease in the water equivalent of snow cover along with an appreciable increase in water losses, spring flood will not occur in some years. Therefore, changes in the climate and anthropogenic load considerably reduce the reliability of relationships developed in the XX century and used to forecast the spring inflow into the Tsymlyansk Reservoir.","https://doi.org/10.1134/S0097807820060159","10.1134/S0097807820060159","Varentsova, N. A.; Kireeva, M. B.; Frolova, N. L.; Kharlamov, M. A.; Ilich, V. P.; Sazonov, A. A.","WATER RESOURCES","spring flood; runoff forecast; climate changes; runoff formation",NA,NA,"MAIK NAUKA/INTERPERIODICA/SPRINGER","NEW YORK","233 SPRING ST, NEW YORK, NY 10013-1578 USA","0097-8078","1608-344X",NA,"WATER RESOUR+","Water Resour.","NOV",2020,"47","6","953","967",NA,NA
FALSE,83,"Predicting Inflow Rate of the Soyang River Dam Using Deep Learning Techniques","The Soyang Dam, the largest multipurpose dam in Korea, faces water resource management challenges due to global warming. Global warming increases the duration and frequency of days with high temperatures and extreme precipitation events. Therefore, it is crucial to accurately predict the inflow rate for water resource management because it helps plan for flood, drought, and power generation in the Seoul metropolitan area. However, the lack of hydrological data for the Soyang River Dam causes a physical-based model to predict the inflow rate inaccurately. This study uses nearly 15 years of meteorological, dam, and weather warning data to overcome the lack of hydrological data and predict the inflow rate over two days. In addition, a sequence-to-sequence (Seq2Seq) mechanism combined with a bidirectional long short-term memory (LSTM) is developed to predict the inflow rate. The proposed model exhibits state-of-the-art prediction accuracy with root mean square error (RMSE) of 44.17 m(3)/s and 58.59 m(3)/s, mean absolute error (MAE) of 14.94 m(3)/s and 17.11 m(3)/s, and Nash-Sutcliffe efficiency (NSE) of 0.96 and 0.94, for forecasting first and second day, respectively.","https://doi.org/10.3390/w13172447","10.3390/w13172447","Lee, Sangwon; Kim, Jaekwang","WATER","dam inflow; machine learning; bidirectional LSTM; Seq2Seq; deep learning","REGRESSION; MODEL",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2073-4441",NA,"WATER-SUI","Water","SEP",2021,"13","17",NA,NA,"2447",NA
FALSE,84,"Comparison of Deterministic and Statistical Models for Water Quality Compliance Forecasting in the San Joaquin River Basin, California","Model selection for water quality forecasting depends on many factors including analyst expertise and cost, stakeholder involvement and expected performance. Water quality forecasting in arid river basins is especially challenging given the importance of protecting beneficial uses in these environments and the livelihood of agricultural communities. In the agriculture-dominated San Joaquin River Basin of California, real-time salinity management (RTSM) is a state-sanctioned program that helps to maximize allowable salt export while protecting existing basin beneficial uses of water supply. The RTSM strategy supplants the federal total maximum daily load (TMDL) approach that could impose fines associated with exceedances of monthly and annual salt load allocations of up to $1 million per year based on average year hydrology and salt load export limits. The essential components of the current program include the establishment of telemetered sensor networks, a web-based information system for sharing data, a basin-scale salt load assimilative capacity forecasting model and institutional entities tasked with performing weekly forecasts of river salt assimilative capacity and scheduling west-side drainage export of salt loads. Web-based information portals have been developed to share model input data and salt assimilative capacity forecasts together with increasing stakeholder awareness and involvement in water quality resource management activities in the river basin. Two modeling approaches have been developed simultaneously. The first relies on a statistical analysis of the relationship between flow and salt concentration at three compliance monitoring sites and the use of these regression relationships for forecasting. The second salt load forecasting approach is a customized application of the Watershed Analysis Risk Management Framework (WARMF), a watershed water quality simulation model that has been configured to estimate daily river salt assimilative capacity and to provide decision support for real-time salinity management at the watershed level. Analysis of the results from both model-based forecasting approaches over a period of five years shows that the regression-based forecasting model, run daily Monday to Friday each week, provided marginally better performance. However, the regression-based forecasting model assumes the same general relationship between flow and salinity which breaks down during extreme weather events such as droughts when water allocation cutbacks among stakeholders are not evenly distributed across the basin. A recent test case shows the utility of both models in dealing with an exceedance event at one compliance monitoring site recently introduced in 2020.","https://doi.org/10.3390/w13192661","10.3390/w13192661","Quinn, Nigel W. T.; Tansey, Michael K. K.; Lu, James","WATER","water quality forecasting; decision support; WARMF; regression model; salinity; irrigated agriculture; stakeholder involvement","REAL-TIME MANAGEMENT",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2073-4441",NA,"WATER-SUI","Water","OCT",2021,"13","19",NA,NA,"2661",NA
FALSE,85,"Projecting future habitat quality of three midwestern reservoir fishes under warming conditions","Rising temperatures caused by climate change are likely to affect cool-water and warm-water fishes differently. Yet, forecasts of anticipated temperature effects on fishes of different thermal guilds are lacking, especially in freshwater ecosystems. Towards this end, we used spatially explicit, growth rate potential (GRP) models to project changes in seasonal habitat quality for a warm-water piscivore (largemouth bass Micropterus salmoides), a cool-water piscivore (walleye Sander vitreus) and a hybrid piscivore (saugeye S. vitreus x S. canadensis) in two Midwestern reservoirs. We assessed habitat quality for two periods (early and middle 21st century) under two realistic greenhouse gas emission scenarios (a mid-century emissions peak and a rapid continuous increase in emissions). Largemouth bass were projected to experience enhanced or slightly reduced habitat during all seasons, and throughout the mid-21st century. By contrast, walleye habitat was projected to decline with anticipated warming, except during the spring in the smaller of our two study reservoirs and during the fall in the larger of our two study reservoirs. Saugeye habitat was projected to either increase modestly or decline slightly during the spring and fall and declines in habitat quality and quantity that were smaller than those for walleye were identified during summer. Collectively, our findings indicate that climate warming will differentially alter habitat suitability for reservoir piscivores, favouring warm-water species over cool-water species. We expect these changes in habitat quality to impact the dynamics of reservoir fish populations to varying degrees necessitating the consideration of climate when making future management decisions.","https://doi.org/10.1111/eff.12561","10.1111/eff.12561","Budnik, Richard R.; Conroy, Joseph D.; Zweifel, Richard D.; Ludsin, Stuart A.; Marschall, Elizabeth A.","ECOLOGY OF FRESHWATER FISH","climate change; growth rate potential; habitat quality; largemouth bass; reservoirs; Sander spp","MENHADEN BREVOORTIA-TYRANNUS; WALLEYE SANDER-VITREUS; CLIMATE-CHANGE; SMALLMOUTH BASS; BIOENERGETICS MODELS; PREY AVAILABILITY; POTENTIAL IMPACTS; CALORIC DENSITIES; LARGEMOUTH BASS; YELLOW PERCH",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0906-6691","1600-0633",NA,"ECOL FRESHW FISH","Ecol. Freshw. Fish","JAN",2021,"30","1","31","47",NA,NA
FALSE,86,"Spatial and temporal characteristics, influencing factors and prediction models of water quality and algae in early stage of Middle Route of South-North Water Diversion Project","The Middle Route (MR) of the South-to-North Water Diversion Project (SNWDP) of China is one of the world's largest interbasin water diversion projects. As an important source of drinking water in North China, its water quality safety determines the success or failure of a sizable water supply. At present, there is a lack of in-depth and systematic understanding of the interaction between hydrodynamics and the water environment as well as water ecological processes in the main canal at the early stages of operation. It is not currently possible to accurately predict water quality and algae status at the early stage of canal ecosystem succession. Change trends and distribution characteristics of the main water ecological environment elements in the main canal at the early MR stage are analyzed in this study. The main factors influencing algae are investigated by principal component analysis (PCA) to characterize the water quality and algae transport distribution in the main MR canal under the complex multi-sluice joint dispatching conditions. The relationship between environmental factors, hydrodynamic, water quality, and algae in the coupled canal-sluice system in the SNWDP MR is determined. Algae distributions under different water transmission conditions in a typical canal section are predicted accordingly. CODMn and algal density in the main canal are shown to increase from south to north along the canal. DO decreases from south to north; other water quality indexes do not significantly differ from north to south. Algal density along the canal differs to the greatest extent in summer, followed by spring and autumn, and is the weakest in winter. The predicted algae densities in the main canal under different water conveying conditions show that single sluice control and strong water flow from Taocha Head Section increase the flow velocity after passing through the sluice with a fixed opening. Algal density decreases flow rate increases under single sluice regulation conditions. The maximum rate of algal density change reaches 22.13% and 29.55% under double sluice and four sluice scheduling. Algae control effects grow significantly as the number of control sluices increases. The results of this work may provide technical support for water quality forecasting and algae risk warning in the SNWDP MR as well as a workable reference for similar projects.","https://doi.org/10.1007/s11356-021-16917-5","10.1007/s11356-021-16917-5","Jing, Zheng; Chen, Hao; Cao, Huiqun; Tang, Xianqiang; Shang, Yuming; Liang, Yuhan; Luo, Ping'an; Luo, Huiping","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","South-to-North Water Diversion Project; First operating period; Multi-sluice joint dispatching; Spatial and temporal characteristics; Water quality and algae prediction model","ENVIRONMENTAL DRIVERS; PHOSPHORUS; RESERVOIR; NITROGEN; CHLOROPHYLL; BASIN",NA,"SPRINGER HEIDELBERG","HEIDELBERG","TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","0944-1344","1614-7499",NA,"ENVIRON SCI POLLUT R","Environ. Sci. Pollut. Res.",NA,NA,NA,NA,NA,NA,NA,NA
FALSE,87,"PREMHYCE: an operational tool for low-flow forecasting","In many countries, rivers are the primary supply of water. A number of uses (drinking water, irrigation, hydropower horizontal ellipsis ) can be strongly affected by water shortages. Therefore, there is a need for the early anticipation of low-flow periods to improve water management. This is strengthened by the perspective of having more severe low flows in the context of climate change. Several French institutions have been collaborating over the last years to develop an operational tool for low-flow forecasting, called PREMHYCE. It was tested in real time on more than one hundred catchments in continental France since 2017. PREMHYCE includes five hydrological models, which are calibrated on gauged catchments and which assimilate flow observations. Low-flow forecasts can be issued up to 90 days ahead, based on Ensemble Streamflow Prediction (ESP) using historical climatic data as ensembles of future input scenarios. The performance of the forecasting tool is analysed on the 2017-2018 low flows on 38 catchments for which forecasts are available for all the models. The capacity to anticipate low-flow events shows an average anticipation of 40 days. The short-term forecast (7 days ahead) is good for most of the models.","https://doi.org/10.1051/lhb/2020043","10.1051/lhb/2020043","Tilmant, Francois; Nicolle, Pierre; Bourgin, Francois; Besson, Francois; Delaigue, Olivier; Etchevers, Pierre; Francois, Didier; Le Lay, Matthieu; Perrin, Charles; Rousset, Fabienne; Thiery, Dominique; Magand, Claire; Leurent, Timothee; Jacob, Elise","HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU","low-flow forecasts; hydrological model; ensemble forecasting; water resources management; drought","POTENTIAL EVAPOTRANSPIRATION MODEL; HYDROLOGICAL MODELS; RIVER; SENSITIVITY; SIMULATION; FRANCE",NA,"EDP SCIENCES S A","LES ULIS CEDEX A","17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, F-91944 LES ULIS CEDEX A, FRANCE","0018-6368","1958-5551",NA,"HOUILLE BLANCHE","Houille Blanche-Rev. Int.","DEC 4",2020,NA,"5","37","44",NA,NA
FALSE,88,"Individual-based models forecast the spread and inform the management of an emerging riverine invader","Aim Mounting ecological impacts of invasive species on freshwater ecosystems are among the greatest challenges confronting ecologists and decision-makers in conserving biodiversity and ecosystem function. Tools to slow the proliferation of aquatic invasive species are still needed to guide the allocation of limited resources more effectively and efficiently once a species is already established. Here we develop mechanistic models to recreate the invasion history of the rusty crayfish Faxonius rusticus in the John Day River (JDR) basin, forecast its future distribution, and evaluate the management efficiency of, and trade-offs among, population control actions. Location Methods John Day River Basin, Oregon. The spread and control of rusty crayfish in the JDR was simulated with a spatially explicit individual-based model (SEIBM) whereby the life history of each crayfish in the population is modelled in response to environmental conditions that vary across space and time. The model was calibrated by comparing modelled rusty crayfish spread throughout the JDR to known occurrences according to three comprehensive surveys. Results Main conclusion Our model accurately reproduced historical rusty crayfish distribution data for 2005, 2010, and 2016 with a specificity and sensitivity of similar to 80%. Leveraging this realistic model of the spread of rusty crayfish, we show that rapid management actions to the initial invasion would have resulted in an opportunity to slow the spread of rusty crayfish. We instead predict that rusty crayfish will reach the mainstem of the Columbia River by 2025, at which our model predicts that the crayfish population will number on the order of 10(8) individuals over more than 1100 km of river throughout the watershed and progress into critical salmon spawning habitat. This study demonstrates that SEIBMs can provide unique insight into the future distribution of aquatic invasive species and concretely support decision-makers in choosing an optimal control strategy.","https://doi.org/10.1111/ddi.12829","10.1111/ddi.12829","Messager, Mathis L.; Olden, Julian D.","DIVERSITY AND DISTRIBUTIONS","aquatic invasive species; crayfish; individual-based model; invasive species management; John Day River; secondary spread","CRAYFISH PROCAMBARUS-CLARKII; ORCONECTES-RUSTICUS GIRARD; JOHN DAY RIVER; PACIFASTACUS-LENIUSCULUS; SIGNAL CRAYFISH; POPULATION; INVASIONS; ERADICATION; PREDATION; FRAMEWORK",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","1366-9516","1472-4642",NA,"DIVERS DISTRIB","Divers. Distrib.","DEC",2018,"24","12","1816","1829",NA,NA
FALSE,89,"Projected Hydroclimatic Changes in Two Major River Basins at the Canadian West Coast Based on High-Resolution Regional Climate Simulations","The impact of anthropogenic climate change on water resources and flood and drought risk is of great interest for impact modeling and to inform adaptation strategies. Here an analysis of hydroclimatic changes in the Fraser and Athabasca River basins in western Canada is presented, based on an ensemble of climate projections, which have been dynamically downscaled to 10-km resolution using the Weather Research and Forecasting Model in two configurations. The GCM ensemble comprises four independent integrations of the Community Earth System Model under the representative concentration pathway 8.5. Basin-integrated changes in the seasonal cycle of hydroclimatic variables, and the variability of water supply and flood and drought risk, are considered. It is found that fall and winter precipitation generally increase by 20%-30% toward the end of the century, while changes in summer precipitation are smaller and associated with high model uncertainty. Furthermore, a reduction in snowfall and an increase in evapotranspiration are projected. However, projected impacts on water resources east and west of the Rocky Mountains are quite different: in basins closer to the coast (west of the Rocky Mountains) higher temperatures lead to a transition from predominantly solid to liquid precipitation and a significantly weaker spring freshet, followed by drier summers. In the lee of the Rocky Mountains the spring freshet remains largely unaffected and in summer the increase in evapotranspiration (ET) is compensated by increasing precipitation, so that water balance changes appear to be small. It is further found that a shift in runoff seasonality near the coast may lead to significantly increased flood risk in fall.","https://doi.org/10.1175/JCLI-D-16-0870.1","10.1175/JCLI-D-16-0870.1","Erler, Andre R.; Peltier, W. Richard","JOURNAL OF CLIMATE",NA,"PRECIPITATION; VARIABILITY; EXTREMES; ENSEMBLE; IMPACTS",NA,"AMER METEOROLOGICAL SOC","BOSTON","45 BEACON ST, BOSTON, MA 02108-3693 USA","0894-8755","1520-0442",NA,"J CLIMATE","J. Clim.","OCT",2017,"30","20","8081","8105",NA,NA
