Timestamp,Enter the Result Number (column A in spreadsheet) of the abstract you are reviewing.,"Is the study ecosystem an inland waterbody? (e.g., salty lakes, lagoons, swamps, wetlands ok, coastal oceans and estuaries not ok) For studies forecasting runoff or drought/flood risk, there must be some representation of an inland waterbody in the modeling approach.","Is the study presenting a forecast, nowcast, or hindcast?","If the study is a forecast, nowcast, or hindcast, is uncertainty specified?",Is the forecast/hindcast/nowcast near-term?,"If uncertainty is NOT specified, what modeling approach is used?",Notes (optional) - anything you think we NEED to know re: this paper?,"Are the only forecast target variables some combination of streamflow, inflow, or stream or river discharge, water level or flood risk?"
6/6/2022 8:01,164,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 8:04,165,yes; surface water,forecast,yes,no,,,no
6/6/2022 8:05,166,yes; surface water,hindcast,yes,yes,,review of Great Lakes forecasting system --> check this out!,yes
6/6/2022 8:07,167,no,,,,,,
6/6/2022 8:09,168,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 8:11,169,yes; groundwater,forecast,no,no,numerical ecosystem simulation (e.g. GLM-AED),,no
6/6/2022 8:12,170,no,,,,,,
6/6/2022 8:13,171,no,,,,,,
6/6/2022 8:14,172,yes; surface water,hindcast,yes,yes,,evaluation of mid-Atlantic ensemble streamflow forecasts --> check b/c relevant to our region,yes
6/6/2022 8:14,173,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 8:18,174,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 8:18,175,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 8:19,176,yes; surface water,none of the above,,,,,no
6/6/2022 8:20,177,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 8:23,178,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/6/2022 8:27,179,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 8:28,180,no,,,,,,
6/6/2022 8:30,181,yes; groundwater,forecast,no,no,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 8:32,182,yes; surface water,hindcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 8:34,183,yes; groundwater,hindcast,yes,yes,,,yes
6/6/2022 12:03,184,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),,yes
6/6/2022 12:05,185,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:06,186,yes; surface water,none of the above,,,,,no
6/6/2022 12:11,187,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/6/2022 12:12,188,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 12:14,189,yes; surface water,none of the above,,,,,yes
6/6/2022 12:19,190,yes; surface water,none of the above,,,,,yes
6/6/2022 12:22,191,yes; surface water,hindcast,yes,yes,,,no
6/6/2022 12:23,192,no,,,,,,
6/6/2022 12:27,193,yes; surface water,hindcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,no
6/6/2022 12:28,194,yes; surface water,none of the above,,,,,no
6/6/2022 12:29,196,yes; surface water,none of the above,,,,,yes
6/6/2022 12:29,195,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:31,197,no,,,,,,
6/6/2022 12:31,198,no,,,,,,
6/6/2022 12:33,199,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:36,200,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 12:39,201,yes; surface water,nowcast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/6/2022 12:44,202,yes; surface water,forecast,yes,no,,,yes
6/6/2022 12:45,203,yes; surface water,forecast,yes,can't tell,,not in English,yes
6/6/2022 12:48,204,yes; surface water,forecast,yes,no,,,yes
6/6/2022 12:53,207,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:54,208,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:55,209,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 12:58,210,yes; surface water,none of the above,,,,,yes
6/6/2022 13:03,211,yes; surface water,hindcast,no,yes,,,no
6/6/2022 13:06,212,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 13:07,213,yes; surface water,none of the above,,,,,yes
6/6/2022 13:10,214,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 13:11,215,no,,,,,,
6/6/2022 13:12,216,yes; surface water,none of the above,,,,,yes
6/6/2022 13:13,217,yes; surface water,none of the above,,,,,yes
6/6/2022 13:14,218,no,,,,,,
6/6/2022 13:15,219,yes; surface water,hindcast,yes,yes,,,yes
6/6/2022 13:20,220,no,,,,,,
6/6/2022 13:23,221,yes; surface water,forecast,no,no,time series model (e.g. ARIMA),,yes
6/6/2022 13:25,222,yes; surface water,none of the above,,,,,no
6/6/2022 13:28,223,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 17:21,224,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/6/2022 17:24,225,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 17:24,226,yes; surface water,none of the above,,,,,no
6/6/2022 17:26,227,yes; surface water,none of the above,,,,,no
6/6/2022 17:27,228,yes; groundwater,none of the above,,,,,no
6/6/2022 17:27,229,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 17:28,230,yes; surface water,forecast,yes,no,,,yes
6/6/2022 17:35,231,yes; surface water,none of the above,,,,,yes
6/6/2022 17:55,232,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 17:56,233,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 17:58,234,no,,,,,,
6/6/2022 17:58,235,yes; surface water,forecast,yes,yes,,,yes
6/6/2022 18:00,236,yes; groundwater,none of the above,,,,,no
6/6/2022 18:02,237,yes; surface water,forecast,no,yes,,,yes
6/6/2022 18:03,238,yes; surface water,forecast,yes,no,,,no
6/6/2022 18:05,239,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/6/2022 18:08,241,yes; surface water,forecast,yes,no,,,no
6/6/2022 18:09,242,yes; surface water,forecast,yes,yes,,review paper of flood forecasting might be worth looking into,yes
6/6/2022 18:09,243,no,,,,,,
6/7/2022 6:11,508,yes; surface water,forecast,no,yes,"empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 6:12,509,yes; surface water,nowcast,yes,yes,,,yes
6/7/2022 6:16,510,yes; groundwater,forecast,yes,yes,,,yes
6/7/2022 6:18,511,yes; surface water,none of the above,,,,,no
6/7/2022 6:24,513,yes; surface water,none of the above,,,,,yes
6/7/2022 6:29,514,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 6:36,515,yes; surface water,forecast,can't tell,no,,,no
6/7/2022 6:40,516,no,,,,,,
6/7/2022 6:47,517,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 6:55,518,yes; surface water,forecast,no,,,,yes
6/7/2022 6:58,519,yes; surface water,none of the above,,,,,yes
6/7/2022 7:01,520,no,,,,,,
6/7/2022 7:04,521,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 7:07,522,yes; surface water,none of the above,,,,,yes
6/7/2022 7:11,523,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 7:23,524,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 7:25,525,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 7:26,526,no,,,,,,
6/7/2022 7:30,527,yes; surface water,none of the above,,,,,yes
6/7/2022 7:34,529,yes; surface water,none of the above,,,,,yes
6/7/2022 7:36,244,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),couples reservoir forecast to model of profit for farmers; focus on end users,yes
6/7/2022 7:39,245,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), empirical model but not a time series model (e.g. multiple regression)",,yes
6/7/2022 7:41,246,yes; surface water,forecast,no,no,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/7/2022 7:42,247,yes; surface water,none of the above,,,,,yes
6/7/2022 7:44,248,yes; surface water,none of the above,,,,,yes
6/7/2022 7:49,249,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,no
6/7/2022 7:49,530,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 7:51,250,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 7:52,531,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 7:54,532,yes; surface water,forecast,yes,yes,,Looks like a good paper thinking abt forecast visualization ,yes
6/7/2022 8:00,533,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 8:01,534,no,,,,,,
6/7/2022 8:05,535,yes; surface water,none of the above,,,,,yes
6/7/2022 8:15,536,no,,,,,,
6/7/2022 8:17,537,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 8:19,538,yes; surface water,none of the above,,,,,yes
6/7/2022 8:21,539,no,,,,,,
6/7/2022 8:24,540,yes; surface water,none of the above,,,,,no
6/7/2022 8:35,251,yes; surface water,none of the above,,,,,yes
6/7/2022 8:37,252,no,,,,,,
6/7/2022 8:37,542,yes; surface water,none of the above,,,,,yes
6/7/2022 8:38,543,no,,,,,,
6/7/2022 8:39,544,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 8:41,253,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 8:41,545,yes; surface water,none of the above,,,,,yes
6/7/2022 8:43,546,yes; surface water,none of the above,,,,,no
6/7/2022 8:44,254,yes; surface water,none of the above,,,,,yes
6/7/2022 8:44,547,yes; surface water,none of the above,,,,,yes
6/7/2022 8:45,255,yes; surface water,none of the above,,,,,yes
6/7/2022 8:46,256,no,,,,,,
6/7/2022 8:46,548,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 8:47,257,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 8:50,258,yes; surface water,none of the above,,,,,yes
6/7/2022 8:51,259,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 8:53,574,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/7/2022 8:54,575,no,,,,,,
6/7/2022 8:54,260,yes; surface water,forecast,no,no,numerical ecosystem simulation (e.g. GLM-AED),,no
6/7/2022 8:56,261,yes; surface water,none of the above,,,,,yes
6/7/2022 8:56,576,yes; surface water,none of the above,,,,,no
6/7/2022 8:57,262,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:00,263,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 9:01,264,yes; surface water,none of the above,,,,review of ANNs in hydrology - could be useful,yes
6/7/2022 9:02,265,yes; surface water,none of the above,,,,,no
6/7/2022 9:04,577,yes; surface water,none of the above,,,,,yes
6/7/2022 9:05,267,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 9:06,578,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 9:06,579,no,,,,,,
6/7/2022 9:07,580,no,,,,,,
6/7/2022 9:08,268,yes; surface water,none of the above,,,,paper looks at relationship between forecast skill and value but forecasts are synthetic??,yes
6/7/2022 9:26,581,no,,,,,,
6/7/2022 9:26,269,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/7/2022 9:27,270,yes; groundwater,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/7/2022 9:28,271,no,,,,,,
6/7/2022 9:30,582,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/7/2022 9:31,583,no,,,,,,
6/7/2022 9:33,272,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 9:36,273,yes; surface water,nowcast,no,yes,"empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 9:36,274,no,,,,,,
6/7/2022 9:37,275,yes; surface water,none of the above,,,,,yes
6/7/2022 9:37,276,no,,,,,,
6/7/2022 9:39,277,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 9:40,278,yes; surface water,none of the above,,,,,no
6/7/2022 9:41,279,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 9:41,280,no,,,,,,
6/7/2022 9:43,281,yes; surface water,none of the above,,,,,no
6/7/2022 9:44,282,yes; surface water,none of the above,,,,,yes
6/7/2022 9:44,283,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:46,284,yes; surface water,none of the above,,,,,yes
6/7/2022 9:47,285,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:47,286,no,,,,,,
6/7/2022 9:50,287,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:51,288,yes; surface water,none of the above,,,,,yes
6/7/2022 9:52,289,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:53,290,yes; surface water,forecast,yes,no,,,yes
6/7/2022 9:54,291,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 9:54,292,no,,,,,,
6/7/2022 9:57,293,yes; surface water,none of the above,,,,,yes
6/7/2022 10:07,294,yes; surface water,none of the above,,,,,yes
6/7/2022 10:09,295,yes; surface water,forecast,yes,no,,,no
6/7/2022 10:12,296,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 10:13,297,yes; surface water,none of the above,,,,review paper of AI in hydrology - might be useful,yes
6/7/2022 10:18,298,yes; surface water,forecast,no,yes,"empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 10:20,299,yes; surface water,none of the above,,,,,yes
6/7/2022 10:21,300,yes; surface water,forecast,yes,yes,,focus is on how streamflow forecasts affect water allocation for agriculture (focus on end user),yes
6/7/2022 10:24,301,yes; surface water,nowcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 10:25,302,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 10:27,303,yes; groundwater,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/7/2022 10:30,304,yes; surface water,forecast,no,yes,,,no
6/7/2022 10:31,305,yes; surface water,none of the above,,,,,yes
6/7/2022 10:32,306,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 10:34,307,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 10:35,308,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 10:36,309,yes; surface water,none of the above,,,,,yes
6/7/2022 10:40,310,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,no
6/7/2022 10:41,311,no,,,,,,
6/7/2022 10:44,312,yes; groundwater,nowcast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 10:46,313,yes; groundwater,forecast,yes,yes,,,yes
6/7/2022 10:47,314,no,,,,,,
6/7/2022 10:48,315,yes; surface water,none of the above,,,,super interesting assessment of how decision makers use forecasts - good to check out,yes
6/7/2022 10:49,316,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 10:50,317,yes; surface water,none of the above,,,,,no
6/7/2022 10:52,318,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 10:53,319,yes; surface water,forecast,yes,no,,,no
6/7/2022 10:54,320,no,,,,,,
6/7/2022 10:54,321,no,,,,,,
6/7/2022 10:57,322,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 10:58,323,no,,,,,,
6/7/2022 12:12,324,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 12:15,326,yes; surface water,forecast,yes,yes,,,no
6/7/2022 12:18,327,yes; surface water,forecast,no,no,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/7/2022 12:20,328,yes; surface water,none of the above,,,,,yes
6/7/2022 12:25,330,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 12:26,331,yes; surface water,none of the above,,,,study relating forecast skill and value; might be good to check out,yes
6/7/2022 12:26,332,no,,,,,,
6/7/2022 12:28,333,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 12:28,334,yes; surface water,none of the above,,,,,no
6/7/2022 12:33,335,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 12:35,336,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/7/2022 12:36,337,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 12:37,338,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 12:38,339,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 12:40,340,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 12:41,341,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 12:42,342,no,,,,,,
6/7/2022 12:44,343,yes; surface water,forecast,can't tell,yes,,paper not in English,yes
6/7/2022 12:47,344,yes; surface water,none of the above,,,,,yes
6/7/2022 12:50,345,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/7/2022 12:50,346,no,,,,,,
6/7/2022 12:52,347,no,,,,,,
6/7/2022 12:52,348,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 12:57,349,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 13:00,350,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 13:04,351,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/7/2022 13:06,352,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/7/2022 13:07,353,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 13:08,354,yes; surface water,none of the above,,,,,no
6/7/2022 13:09,355,yes; surface water,none of the above,,,,LOOKS LIKE A REALLY IMPORTANT REVIEW OF ESF FROM JULY OF 2021 IN WRR,yes
6/7/2022 13:10,356,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 13:11,357,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 13:12,358,yes; surface water,forecast,yes,yes,,,yes
6/7/2022 13:12,359,no,,,,,,
6/7/2022 13:13,360,yes; surface water,hindcast,yes,yes,,,yes
6/7/2022 13:13,361,no,,,,,,
6/7/2022 13:15,362,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/7/2022 13:15,363,no,,,,,,
6/8/2022 8:04,364,no,,,,,,
6/8/2022 8:06,365,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 8:08,366,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 8:08,367,no,,,,,,
6/8/2022 8:10,368,yes; surface water,none of the above,,,,,no
6/8/2022 8:12,369,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,no
6/8/2022 8:15,370,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)",,no
6/8/2022 8:16,371,yes; surface water,none of the above,,,,,yes
6/8/2022 8:21,372,yes; groundwater,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,no
6/8/2022 8:26,373,yes; surface water,none of the above,,,,,yes
6/8/2022 8:28,374,yes; surface water,forecast,yes,yes,,,no
6/8/2022 8:30,375,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 8:31,376,no,,,,,,
6/8/2022 8:33,377,yes; surface water,none of the above,,,,,yes
6/8/2022 8:37,378,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 8:38,379,yes; surface water,forecast,yes,no,,,no
6/8/2022 8:39,380,yes; surface water,none of the above,,,,,no
6/8/2022 8:41,381,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 8:42,382,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 8:47,383,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), empirical model but not a time series model (e.g. multiple regression)",,yes
6/8/2022 9:05,514,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 9:07,515,yes; surface water,forecast,yes,no,,,no
6/8/2022 9:10,516,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/8/2022 9:12,517,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/8/2022 9:58,518,yes; surface water,nowcast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),,yes
6/8/2022 10:01,519,yes; surface water,none of the above,,,,,yes
6/8/2022 10:03,520,no,,,,,,
6/8/2022 10:07,521,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 10:08,522,yes; surface water,none of the above,,,,,yes
6/8/2022 10:09,523,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 10:12,524,yes; surface water,forecast,yes,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:06,525,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 11:07,526,no,,,,,,
6/8/2022 11:12,527,yes; groundwater,none of the above,,,,,yes
6/8/2022 11:13,528,no,,,,,,
6/8/2022 11:17,529,yes; surface water,forecast,no,yes,process-based but not ecosystem simulation (e.g. age-structured population model),very cool using runoff forecasts to provide optimal flow release forecasts,yes
6/8/2022 11:17,530,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 11:19,531,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 11:20,532,yes; surface water,none of the above,,,,BE SURE to look at this -> social science study about how end users interpret probabilistic hydrology forecasts!!!!!!!!!!!!!!!!,yes
6/8/2022 11:23,533,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:23,534,yes; surface water,none of the above,,,,,yes
6/8/2022 11:24,535,yes; surface water,none of the above,,,,,yes
6/8/2022 11:24,536,no,,,,,,
6/8/2022 11:28,537,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/8/2022 11:30,538,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:30,539,no,,,,,,
6/8/2022 11:31,540,yes; surface water,none of the above,,,,,no
6/8/2022 11:32,541,no,,,,,,
6/8/2022 11:34,542,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:34,543,no,,,,,,
6/8/2022 11:41,544,yes; surface water,hindcast,yes,yes,,,yes
6/8/2022 11:41,545,yes; surface water,none of the above,,,,,yes
6/8/2022 11:50,546,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/8/2022 11:52,547,yes; surface water,none of the above,,,,,yes
6/8/2022 11:55,548,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:56,549,yes; surface water,none of the above,,,,,yes
6/8/2022 11:57,550,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 11:58,551,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 11:59,552,no,,,,,,
6/8/2022 12:02,553,yes; surface water,none of the above,,,,,yes
6/8/2022 12:05,555,yes; surface water,none of the above,,,,,yes
6/8/2022 12:10,556,yes; surface water,nowcast,no,yes,"empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 12:11,557,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 12:17,559,yes; surface water,none of the above,,,,,yes
6/8/2022 12:17,560,no,,,,,,
6/8/2022 12:18,561,no,,,,,,
6/8/2022 12:23,563,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),,no
6/8/2022 12:24,563,yes; surface water,none of the above,,,,,yes
6/8/2022 12:27,564,yes; surface water,forecast,no,yes,"process-based but not ecosystem simulation (e.g. age-structured population model), empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 12:28,565,no,,,,,,
6/8/2022 12:29,566,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 12:30,567,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 12:30,568,no,,,,,,
6/8/2022 12:33,569,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/8/2022 12:35,570,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),,no
6/8/2022 12:37,571,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/8/2022 12:38,572,yes; surface water,none of the above,,,,simulation study: how do simulated forecasts affect operation of simulated reservoirs,yes
6/8/2022 12:38,573,no,,,,,,
6/8/2022 13:25,574,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 13:25,575,no,,,,,,
6/8/2022 13:30,576,yes; groundwater,none of the above,,,,,no
6/8/2022 13:30,577,yes; surface water,none of the above,,,,,yes
6/8/2022 13:34,578,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 13:35,579,no,,,,,,
6/8/2022 13:35,580,no,,,,,,
6/8/2022 13:35,581,no,,,,,,
6/8/2022 13:38,582,yes; surface water,forecast,no,yes,numerical ecosystem simulation (e.g. GLM-AED),,yes
6/8/2022 13:39,583,no,,,,,,
6/8/2022 13:40,584,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/8/2022 13:43,585,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/8/2022 13:44,586,no,,,,,,
6/8/2022 13:46,587,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 13:47,588,yes; surface water,hindcast,yes,yes,,,yes
6/8/2022 13:49,589,yes; surface water,forecast,yes,yes,,,yes
6/8/2022 13:52,590,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/8/2022 13:54,591,yes; surface water,forecast,can't tell,yes,,paper not in English,yes
6/8/2022 13:56,592,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
