Result Number,Article Title,Abstract,DOI,DOI,Author Full Names,Source Title,Author Keywords,Keywords Plus,Affiliations,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,
452,Adaptive forecasting of phytoplankton communities,"The global proliferation of harmful algal blooms poses an increasing threat to water resources, recreation and ecosystems. Predicting the occurrence of these blooms is therefore needed to assist water managers in making management decisions to mitigate their impact. Evaluation of the potential for forecasting of algal blooms using the phytoplankton community model PROTECH was undertaken in pseudo-real-time. This was achieved within a data assimilation scheme using the Ensemble Kalman Filter to allow uncertainties and model nonlinearities to be propagated to forecast outputs. Tests were made on two mesotrophic lakes in the English Lake District, which differ in depth and nutrient regime. Some forecasting success was shown for chlorophyll a, but not all forecasts were able to perform better than a persistence forecast. There was a general reduction in forecast skill with increasing forecasting period but forecasts for up to four or five days showed noticeably greater promise than those for longer periods. Associated forecasts of phytoplankton community structure were broadly consistent with observations but their translation to cyanobacteria forecasts was challenging owing to the interchangeability of simulated functional species. (C) 2018 Elsevier Ltd. All rights reserved.",https://doi.org/10.1016/j.watres.2018.01.046,10.1016/j.watres.2018.01.046,"Page, Trevor; Smith, Paul J.; Beven, Keith J.; Jones, Ian D.; Elliott, J. Alex; Maberly, Stephen C.; Mackay, Eleanor B.; De Ville, Mitzi; Feuchtmayr, Heidrun",WATER RESEARCH,Phytoplankton model; Forecasting; Data assimilation; Ensemble Kalman Filter; Cyanobacteria; PROTECH,DATA ASSIMILATION; FRESH-WATER; ENSEMBLE; MODEL; LAKE; EUTROPHICATION; CLIMATE; BLOOMS; STATE; CYANOBACTERIA,,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0043-1354,,,WATER RES,Water Res.,MAY 1,2018,134,,74,85,,
453,Providing peak river flow statistics and forecasting in the Niger River basin,"Flooding is a growing concern in West Africa. Improved quantification of discharge extremes and associated uncertainties is needed to improve infrastructure design, and operational forecasting is needed to provide timely warnings. In this study, we use discharge observations, a hydrological model (Niger-HYPE) and extreme value analysis to estimate peak river flow statistics (e.g. the discharge magnitude with a 100-year return period) across the Niger River basin. To test the model's capacity of predicting peak flows, we compared 30-year maximum discharge and peak flow statistics derived from the model vs. derived from nine observation stations. The results indicate that the model simulates peak discharge reasonably well (on average + 20%). However, the peak flow statistics have a large uncertainty range, which ought to be considered in infrastructure design. We then applied the methodology to derive basin-wide maps of peak flow statistics and their associated uncertainty. The results indicate that the method is applicable across the hydrologically active part of the river basin, and that the uncertainty varies substantially depending on location. Subsequently, we used the most recent bias-corrected climate projections to analyze potential changes in peak flow statistics in a changed climate. The results are generally ambiguous, with consistent changes only in very few areas. To test the forecasting capacity, we ran Niger-HYPE with a combination of meteorological data sets for the 2008 high-flow season and compared with observations. The results indicate reasonable forecasting capacity (on average 17% deviation), but additional years should also be evaluated. We finish by presenting a strategy and pilot project which will develop an operational flood monitoring and forecasting system based in-situ data, earth observations, modelling, and extreme statistics. In this way we aim to build capacity to ultimately improve resilience toward floods, protecting lives and infrastructure in the region. (C) 2017 The Authors. Published by Elsevier Ltd.",https://doi.org/10.1016/j.pce.2017.02.010,10.1016/j.pce.2017.02.010,"Andersson, Jafet C. M.; Ali, Abdou; Arheimer, Berit; Gustafsson, David; Minoungou, Bernard",PHYSICS AND CHEMISTRY OF THE EARTH,Decision support; Extreme discharge; Floods; Generalized extreme value distribution; Infrastructure design; Niger-HYPE,CLIMATE-CHANGE; LAND-USE; AFRICA; RESERVOIRS; ENSEMBLE,,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",1474-7065,1873-5193,,PHYS CHEM EARTH,Phys. Chem. Earth,AUG,2017,100,,3,12,,
454,Hindcasting Ecosystem Functioning Change in an Anthropogenized Estuary: Implications for an Era of Global Change,"Understanding how altered hydrodynamics related to climate change and anthropogenic modifications affect ecosystem integrity of shallow coastal soft-sediment environments requires a sound integration of how species populations influence ecosystem functioning across heterogeneous spatial scales. Here, we hindcasted how intertidal habitat loss and altered hydrodynamic regimes between 1955 and 2010 associated with geomorphological change to accommodate expansion in anthropogenic activities in the Western Scheldt altered spatial patterns and basin-wide estimates of ecosystem functioning. To this end we combined an empirically derived metabolic model for the effect of the common ragworm Hediste diversicolor on sediment biogeochemistry (measured as sediment oxygen uptake) with a hydrodynamic and population biomass distribution model. Our integrative modeling approach predicted an overall decrease by 304 tons in ragworm biomass between 1955 and 2010, accounting for a reduction by 28% in stimulated sediment oxygen uptake at the landscape scale. Local gains or losses in habitat suitability and ecosystem functioning were primarily driven by changes in maximal current velocities and inundation regimes resulting from deepening, dredging and disposal practices. By looking into the past, we have demonstrated how hydro- and morphodynamic changes affect soft-sediment ecology and highlight the applicability of the integrative framework to upscale anticipated population effects on ecosystem functioning.",https://doi.org/10.3389/fmars.2021.747833,10.3389/fmars.2021.747833,"Fang, Xiaoyu; Cozzoli, Francesco; Smolders, Sven; Knights, Antony; Moens, Tom; Soetaert, Karline; Van Colen, Carl",FRONTIERS IN MARINE SCIENCE,soft-sediment biogeochemistry; bioturbation; animal; ecosystem function relationships; metabolic theory of ecology; Western Scheldt estuary,SPECIES DISTRIBUTIONS; QUANTILE REGRESSION; SPATIAL-PATTERNS; MARINE; IMPACT; BIOTURBATION; GRADIENTS; SALINITY; NEREIS; OXYGEN,,FRONTIERS MEDIA SA,LAUSANNE,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,2296-7745,,FRONT MAR SCI,Front. Mar. Sci.,DEC 15,2021,8,,,,747833,
455,An Analytical Risk Analysis Method for Reservoir Flood Control Operation Considering Forecast Information,"Risk analysis is vital for reservoir flood control operation considering forecast because forecast uncertainties may create risks of multiple hazard events, including the single-hazard events, the union and intersection of single-hazard events (UHE and IHE). The probability of UHE and IHE are the major concern of decision-makers. This research proposes an analytical flood risk probability calculation framework for single-hazard event, UHE and IHE caused by uncertainties in flood forecasting and takes Dahuofang Reservoir, located in the Hunhe River basin, Northeast China, as a case study. In the framework, the risk is calculated by the integral of the joint probability density function (Pdf) of the risk sources over the hazard domain, which is the collection of the values of risk sources that cause hazards. The determination method of the hazard domain and the Pdf of risk sources and the procedure of risk analysis are elaborated. Results of single-hazard events show that the proposed methodology is of higher precision compared with the risk analysis method based on the law of total probability. Meanwhile, the flood risks of UHE and IHE are calculated for the reservoir operation under different levels of flood limit water level. The study provides a new method of flood risk analysis for flood control reservoir operation.",https://doi.org/10.1007/s11269-021-02795-6,10.1007/s11269-021-02795-6,"Ning, Yawei; Ding, Wei; Liang, Guohua; He, Bin; Zhou, Huicheng",WATER RESOURCES MANAGEMENT,Risk analysis; Reservoir operation; Integral thought; Hazard domain; Union and intersection of single-hazard events,CLIMATE-CHANGE; DYNAMIC CONTROL; DERIVATION; SYSTEM,,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0920-4741,1573-1650,,WATER RESOUR MANAG,Water Resour. Manag.,MAY,2021,35,7,2079,2099,,
456,Can assimilation of crowdsourced data in hydrological modelling improve flood prediction?,"Monitoring stations have been used for decades to properly measure hydrological variables and better predict floods. To this end, methods to incorporate these observations into mathematical water models have also been developed. Besides, in recent years, the continued technological advances, in combination with the growing inclusion of citizens in participatory processes related to water resources management, have encouraged the increase of citizen science projects around the globe. In turn, this has stimulated the spread of low-cost sensors to allow citizens to participate in the collection of hydrological data in a more distributed way than the classic static physical sensors do. However, two main disadvantages of such crowdsourced data are the irregular availability and variable accuracy from sensor to sensor, which makes them challenging to use in hydrological modelling. This study aims to demonstrate that streamflow data, derived from crowdsourced water level observations, can improve flood prediction if integrated in hydrological models. Two different hydrological models, applied to four case studies, are considered. Realistic (albeit synthetic) time series are used to represent crowdsourced data in all case studies. In this study, it is found that the data accuracies have much more influence on the model results than the irregular frequencies of data availability at which the streamflow data are assimilated. This study demonstrates that data collected by citizens, characterized by being asynchronous and inaccurate, can still complement traditional networks formed by few accurate, static sensors and improve the accuracy of flood forecasts.",https://doi.org/10.5194/hess-21-839-2017,10.5194/hess-21-839-2017,"Mazzoleni, Maurizio; Verlaan, Martin; Alfonso, Leonardo; Monego, Martina; Norbiato, Daniele; Ferri, Miche; Solomatine, Dimitri P.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,STREAMFLOW OBSERVATIONS; SIMULATION EXPERIMENTS; KALMAN FILTER; SOIL-MOISTURE; INITIALIZATION; INFORMATION; VALIDATION; NETWORK; QUALITY,,COPERNICUS GESELLSCHAFT MBH,GOTTINGEN,"BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY",1027-5606,1607-7938,,HYDROL EARTH SYST SC,Hydrol. Earth Syst. Sci.,FEB 14,2017,21,2,839,861,,
457,An error model for long-range ensemble forecasts of ephemeral rivers,"Few ensemble streamflow forecasting systems are designed to operate for ephemeral rivers. In this study, we revise our error model for generating Forecast Guided Stochastic Scenarios (FoGSS) to produce statistically re-liable long-range (12-month) forecasts for ephemeral rivers. FoGSS features an error model with four stages: data transformation, bias-correction, an autoregressive error model and the statistical distribution of residuals. We revise the fourth stage of FoGSS with a parameter estimation method that uses data censoring to account for zero values in both observations and forecasts. This allows FoGSS to produce statistically reliable ensemble forecasts in even highly ephemeral streams (with > 50% zero flows). We apply FoGSS to conventional ensemble hydrological prediction (ESP) forecasts for 50 Australian catchments, including 26 ephemeral rivers. We show that FoGSS improves the accuracy of ESP forecasts at short lead times, while at long lead times FoGSS forecasts transition to climatology-like forecasts. FoGSS forecasts are reliable in ensemble spread at individual lead times and for volumes aggregated over lead times, even in highly ephemeral rivers. FoGSS forecasts pave the way for operational long-range forecasts in ephemeral rivers, meeting a key need for improved water management.",https://doi.org/10.1016/j.advwatres.2021.103891,10.1016/j.advwatres.2021.103891,"Bennett, James C.; Wang, Q. J.; Robertson, David E.; Bridgart, Robert; Lerat, Julien; Li, Ming; Michael, Kelvin",ADVANCES IN WATER RESOURCES,Ephemeral rivers; Dryland streams; Long-range forecasting; ESP; FoGSS; Ensemble prediction,PRECIPITATION FORECASTS; STREAMFLOW; UNCERTAINTY; TEMPERATURE; CALIBRATION; PREDICTION; IMPROVE; SYSTEM; SKILL,,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0309-1708,1872-9657,,ADV WATER RESOUR,Adv. Water Resour.,MAY,2021,151,,,,103981,
458,"A multivariate streamflow forecasting model by integrating improved complete ensemble empirical mode decomposition with additive noise, sample entropy, Gini index and sequence-to-sequence approaches","Accurate and reliable streamflow forecasting is indispensable to deal with the dynamics of streamflow parameters and for optimal use of water resources, flood, and drought control. In this study, a hybrid-forecasting model integrating improved complete ensemble empirical mode decomposition with additive noise (ICEEMDAN)Sample Entropy (SE)-Gini Index (GI)-Sequence to Sequence (Seq2Seq) for streamflow forecasting, namely ISGS (ICEEMDAN-SE-GI-Seq2Seq), is proposed. Firstly, ICEEMDAN is employed to decompose the streamflow time series into subcomponents that are further combined based on SE values. Afterward, GI is used to select the most appropriate features to decrease the computational burden and ameliorate the model's performance. Finally, Seq2Seq architecture based on the long short-term memory (LSTM) algorithm is utilized for predicting the multivariate hydro-meteorological data at three stations located in Turkey. Besides ISGS, the ICEEMDAN-SESeq2Seq, DWT-GI-Seq2Seq, DWT-Seq2Seq, and standalone Seq2Seq models are also constructed as counterpart comparison models. The simulation under different scenarios, several statistical metrics, and judicious plots; substantiate ISGS validity for streamflow forecasting. The correlation coefficient, Nash-Sutcliffe coefficient of efficiency, and Willmott's index values presented by the ISGS model are 0.974, 0.949, and 0.987 for Kirkgoze station, 0.928, 0.839, and 0.947 Kosk station, 0.888, 0.769, and 0.931 for Karagobek station. The performance revealed by the proposed ISGS model proves its viability for streamflow forecasting, along with equal applicability for the other time-series forecasting tasks.",https://doi.org/10.1016/j.jhydrol.2021.126831,10.1016/j.jhydrol.2021.126831,"Apaydin, Halit; Sibtain, Muhammad",JOURNAL OF HYDROLOGY,Streamflow time series; ICEEMDAN; Seq2Seq; Encode-decode; LSTM; Deep learning; RNN; Hybrid model,HYBRID MODEL; SOHU STREAM; PREDICTION; EMD; OPTIMIZATION; PERFORMANCE; ALGORITHM,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0022-1694,1879-2707,,J HYDROL,J. Hydrol.,DEC,2021,603,,,,126831,
459,An improved long short-term memory network for streamflow forecasting in the upper Yangtze River,"Characterized by essential complexity, dynamism, and dynamics, streamflow forecasting presents a great challenge to hydrologists. Long short-term memory (LSTM) streamflow forecast model has received a lot of attention in recent years due to its powerful non-linear modeling ability. But probabilistic streamflow forecasting has rarely been addressed by the LSTM approach. In this study, a probabilistic Long Short-Term Memory network coupled with the Gaussian process (GP) is proposed to deal with the probabilistic daily streamflow forecasting. Moreover, considering that changing mean and variance over time exist in the daily streamflow time series, the heteroscedastic Gaussian process regression is adopted to produce a varying prediction interval. The proposed method encapsulates the inductive biases of the LSTM recurrent network and retains the non-parametric, probabilistic property of Gaussian processes. The performance of the proposed model is investigated by predicting the daily streamflow time series collected from the upper Yangtze River and its tributaries. Artificial neuron network, generalized linear model, heteroscedastic GP, and regular LSTM models are also developed for comparison. Results indicated that the performance of the proposed model is satisfying. It improves prediction accuracy as well as provides an adaptive prediction interval, which is of great significance for water resources management and planning.",https://doi.org/10.1007/s00477-020-01766-4,10.1007/s00477-020-01766-4,"Zhu, Shuang; Luo, Xiangang; Yuan, Xiaohui; Xu, Zhanya",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,Streamflow forecasting; LSTM; Heteroscedastic Gaussian process regression; Prediction interval,MODEL; MULTISTEP; ERROR,,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1436-3240,1436-3259,,STOCH ENV RES RISK A,Stoch. Environ. Res. Risk Assess.,SEP,2020,34,9,1313,1329,,
460,Using Global Hydrometeorologic Forecasts as a Boundary Condition for Two-Dimensional HEC-RAS Modeling in Data Sparse Environments,"Recent advances by the U.S. Army Engineer Research and Development Center (ERDC) have made possible the ability to forecast streamflow at near global scales in fine scale spatial resolution. This new tool, the Streamflow Prediction Tool (SPT), takes 15-day European Center for Medium Range Weather Forecasts (ECMWF) runoff forecasts and calculates streamflow using the routing application for parallel computation of discharge (RAPID) hydrologic routing model. The SPT streamflow product is useful in calculating initial inundation at large spatial scales using the AutoRoute flood extent model. The SPT can also provide boundary conditions for nested hydrologic models, e.g., higher-fidelity models in specific areas of interest. This presentation provides an overview of how ERDC researchers link SPT outputs to the U.S. Army Corps of Engineers Hydrologic Engineering Center River Analysis System (HEC-RAS) Version 5. The linkage allows ERDC to perform high fidelity, two-dimensional hydraulic forecasting at nearly any location in the world. The linkage relies upon the availability of high-resolution, global digital elevation models (DEMs). Bathymetry is estimated using general concepts related to hydraulic geometry. The authors demonstrate this approach with a case-study example in a data sparse region of the world.",https://doi.org/,,"Gutenson, Joseph L.; Wahl, Mark D.; Geheran, Matthew P.; Farthing, Matthew W.; Follum, Michael L.","WORLD ENVIRONMENTAL AND WATER RESOURCES CONGRESS 2018: INTERNATIONAL PERSPECTIVES, HISTORY AND HERITAGE, EMERGING TECHNOLOGIES, AND STUDENT PAPERS",,AMAZON RIVER-BASIN,,AMER SOC CIVIL ENGINEERS,NEW YORK,"UNITED ENGINEERING CENTER, 345 E 47TH ST, NEW YORK, NY 10017-2398 USA",,,978-0-7844-8139-4,,,,2018,,,250,262,,
461,A new intelligent method for monthly streamflow prediction: hybrid wavelet support vector regression based on grey wolf optimizer (WSVR-GWO),"Forecasting daily and monthly streamflows is necessary for short- and long-term water resources management, particularly in extreme cases, e.g., flood and drought. Accurate models are needed to plan and manage water resources in watersheds. Recently, support vector regression (SVR) shows the ability to handle the hydrological forecasting issues, but the accuracy of SVR depends on the appropriate choice of parameters and selection of proper inputs. A new meta-heuristic algorithm called grey wolf optimizer (GWO) is used in the current research in order to improve SVR accuracy in forecasting monthly streamflow. The proposed approach is compared with other evolutionary methods, particle swarm optimization, shuffled complex evolution, and multi-verse optimization, that are employed in tuning SVR parameters. Furthermore, the proposed methods were also combined with wavelet transform and tested using monthly streamflow data from two gauging stations, Ain Bedra and Fermatou, in Algeria. To assess the performance of the developed models, Nash-Sutcliffe efficiency (NSE), correlation coefficient, root mean squared error (RMSE), and mean absolute error (MAE) were used. The obtained results indicate that multi-linear regression provides appropriate input variables to SVR models. According to all of the performance measures used, hybrid models exhibit better performances, in monthly streamflow prediction, compared with single versions. For example, for the Ain Bedra station, the NSEcriterion and the correlation coefficient values increased considerably from 27.36% and 0.5405, for the single models, to 95.72% and 0.9786, for the hybrid models. A great decrease has also been obtained for the RMSE and MAE values, which decreased from 0.1562 m(3)/s and 0.1244 m(3)/s to 0.6433m(3)/s and 0.3047 m(3)/s. In addition, the new GWO algorithm outperformed the other algorithms in terms of both forecasting accuracy and convergence.",https://doi.org/10.1007/s12517-019-4697-1,10.1007/s12517-019-4697-1,"Tikhamarine, Yazid; Souag-Gamane, Doudja; Kisi, Ozgur",ARABIAN JOURNAL OF GEOSCIENCES,Evolutionary algorithms; Grey wolf optimization; Streamflow forecasting; Support vector regression; Wavelet transform,MULTI-VERSE OPTIMIZER; PARTICLE SWARM OPTIMIZATION; ARTIFICIAL NEURAL-NETWORK; GLOBAL OPTIMIZATION; MACHINE; MODEL; DECOMPOSITION; ALGORITHM; PERFORMANCE; CALIBRATION,,SPRINGER HEIDELBERG,HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1866-7511,1866-7538,,ARAB J GEOSCI,Arab. J. Geosci.,SEP,2019,12,17,,,540,
462,Multiobjective Optimization of Seasonal Operating Rules for Water Grids Using Streamflow Forecast Information,"Multiobjective simulation-optimization is a useful tool for determining operating rules for water supply that are optimal for multiple management objectives and expected conditions over the planning period. Previous studies have shown the benefits of streamflow forecasts in improving optimized objective performance of reservoir operating rules. This study demonstrates a simple method for incorporating publicly available streamflow forecast information in operational planning for a water grid. Multiobjective optimization is used to find operating rules for a case study that are optimal for three management objectivesmaximizing minimum system storage, minimizing operational cost, and minimizing spills from reservoirsand for forecast inflow scenarios. These forecast-optimized rules are compared to those optimized using inflow scenarios from the historical distribution, representing operation in the absence of forecast information. The results across four seasonal (3-month) planning periods indicate that, on average, operating rules optimized using forecast streamflow information perform slightly better in terms of the management objectives than those optimized using historical inflow information. Using multiple scenarios of inflow that span the forecast distribution increases the robustness of the operating rules and reduces the risk of underperformance because of forecast inaccuracy. The results suggest that incorporating streamflow forecast information into multiobjective simulation-optimization has the potential to provide improvements in seasonal operating rules for a water grid.",https://doi.org/10.1061/(ASCE)WR.1943-5452.0000902,10.1061/(ASCE)WR.1943-5452.0000902,"Ashbolt, Stephanie C.; Perera, B. J. C.",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,Multiobjective optimization; Operating rules; Simulation; Streamflow forecasts; Seasonal planning; Short-term operational planning; Water grid,DEEP UNCERTAINTY; CLIMATE-CHANGE; EL-NINO; MANAGEMENT; FRAMEWORK; RESERVOIR; PRECIPITATION; PREDICTION; RESOURCES; FUTURE,,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9496,1943-5452,,J WATER RES PLAN MAN,J. Water Resour. Plan. Manage.-ASCE,APR,2018,144,4,,,5018003,
463,"Forecast-informed reservoir operations to guide hydropower and agriculture allocations in the Blue Nile basin, Ethiopia","Predictive hydroclimate information, coupled with reservoir system models, offers the potential to mitigate climate variability risks. Prior methodologies rely on sub-seasonal, dynamic/synthetic forecasts at short timescales, which challenge application in practice. Here, coupling a local-scale seasonal, statistical streamflow forecast with a reservoir model addresses this gap, to explore hydropower and agricultural production benefits under various operational strategies. Forecast-informed optimization of reservoir releases increases energy production (6-14%), agriculture allocations (54-68%), and net profit. Application to Ethiopia showcases a novel seasonal-scale statistical forecast coupled reservoir model that translates hydroclimatic predictions into actionable information for better management at the local scale.",https://doi.org/10.1080/07900627.2020.1745159,10.1080/07900627.2020.1745159,"Alexander, Sarah; Yang, Guang; Addisu, Girmachew; Block, Paul",INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,Seasonal climate forecast; reservoir operation; optimization; dynamic programming; hydropower; Ethiopia,SEASONAL CLIMATE FORECASTS; WATER-RESOURCE MANAGEMENT; SEA-SURFACE TEMPERATURE; INTERANNUAL VARIABILITY; SHORT-TERM; MULTIRESERVOIR SYSTEM; STREAMFLOW FORECASTS; PREDICTION; RAINFALL; PREDICTABILITY,,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0790-0627,1360-0648,,INT J WATER RESOUR D,Int. J. Water Resour. Dev.,MAR 4,2021,37,2,208,233,,
464,Operational and emerging capabilities for surface water flood forecasting,"Surface water (or pluvial) flooding is caused by intense rainfall before it enters rivers or drainage systems. As the climate changes and urban populations grow, the number of people around the world at risk of surface water flooding is increasing. Although it may not be possible to prevent such flooding, reliable and timely flood forecasts can help improve preparedness and recovery. Unlike riverine and coastal flooding where forecasting methods are well established, surface water flood forecasting presents a unique challenge due to the high uncertainties around predicting the location, timing, and impact of what are typically localized events. Over the past 5 years, there has been rapid development of convection-permitting numerical weather prediction models, ensemble forecasting, and computational ability. It is now theoretically feasible to develop operational surface water forecasting systems. This paper identifies three approaches to surface water forecasting utilizing state-of-the-art meteorological forecasts: empirical-based scenarios, hydrological forecasts linked to presimulated impact scenarios, and real-time hydrodynamic simulation. Reviewing operational examples of each approach provides an opportunity to learn from international best practice to develop targeted, impact-based, surface water forecasts to support informed decision-making. Although the emergence of new meteorological and hydrological forecasting capabilities is promising, there remains a scientific limit to the predictability of convective rainfall. To overcome this challenge, we suggest that a rethink of the established role of flood forecasting is needed, alongside the development of interdisciplinary solutions for communicating uncertainty and making the best use of all available data to increase preparedness. This article is categorized under: Engineering Water > Engineering Water",https://doi.org/10.1002/wat2.1517,10.1002/wat2.1517,"Speight, Linda J.; Cranston, Michael D.; White, Christopher J.; Kelly, Laura",WILEY INTERDISCIPLINARY REVIEWS-WATER,decision making; flood forecasting; operational; pluvial; surface water,,,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2049-1948,,,WIRES WATER,Wiley Interdiscip. Rev.-Water,MAY,2021,8,3,,,e1517,
465,Impact of different types of meteorological data inputs on predicted hydrological and erosive responses to projected land use changes,"Hydrological responses to land use/land cover (LULC) changes are complex in nature and tend to have an impact on the hydrological cycle, affecting the livelihood of the inhabitants. Rainfall-runoff models, such as the Soil and Water Assessment Tool, were used in the past to unravel the interactions between the impacts of climate and land use changes. However, the sensitivity of the model outcome, regarding the hydrological and erosive response to climatic data derived with different methods, has not been fully understood. We carried out a hydrological simulation using (a) Climate Forecast System Reanalysis data set, which synthesises outputs of global climate models along with gauged weather information and has a global coverage, and (b) purely weather station-based gridded climate data provided by Indian Meteorological Department. A possible LULC scenario for the year 2020 was created using the combined Cellular Automata-Markov model. Application of both climate data sets resulted in a modest increase in the predicted streamflow and sediment yield as a response to the probable development scenario in 2020. However, the marked variations emerged in the location and monthly pattern of significant changes in the surface runoff and sediment yield in response to the likely LULC scenario for 2020 vis-a-vis 2010.",https://doi.org/10.1007/s12040-019-1076-y,10.1007/s12040-019-1076-y,"Bhattacharyya, Suman; Sanyal, Joy",JOURNAL OF EARTH SYSTEM SCIENCE,Land use change prediction; SWAT; hydrological response; CFSR,FORECAST SYSTEM REANALYSIS; ASSESSMENT-TOOL SWAT; SEDIMENT YIELD; CELLULAR-AUTOMATA; WATER-RESOURCES; COVER CHANGE; CLIMATE; CATCHMENT; MODEL; SOIL,,INDIAN ACAD SCIENCES,BANGALORE,"C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA",2347-4327,0973-774X,,J EARTH SYST SCI,J. Earth Syst. Sci.,APR,2019,128,3,,,60,
466,Evaluating essential processes and forecast requirements for meteotsunami-induced coastal flooding,"Meteotsunamis pose a unique threat to coastal communities and often lead to damage of coastal infrastructure, deluge of nearby property, and loss of life and injury. The Great Lakes are a known hot-spot of meteotsunami activity and serve as an important region for investigation of essential hydrodynamic processes and model forecast requirements in meteotsunami-induced coastal flooding. For this work, we developed an advanced hydrodynamic model and evaluate key model attributes and dynamic processes, including: (1) coastal model grid resolution and wetting and drying process in low-lying zones, (2) coastal infrastructure, including breakwaters and associated submerging and overtopping processes, (3) annual/seasonal (ambient) water level change, and (4) wind wave-current coupling. Numerical experiments are designed to evaluate the importance of these attributes to meteotsunami modeling, including a representative storm scenario in the context of regional climate change in which a meteotsunami wave is generated under high ambient lake-level conditions with a preferable wind direction and speed for wind-wave growth. Results demonstrate that accurate representation of coastal topography and fully resolving associated hydrodynamic processes are critical to forecasting the realistic hazards associated with meteotsunami events. As most of existing coastal forecast systems generally do not resolve many of these features due to insufficient model grid resolution or lack of essential model attributes, this work shows that calibrating or assessing existing forecast models against coastal water level gauges alone may result in underestimating the meteotsunami hazard, particularly when gauging stations are sparse and located behind harbor breakwaters or inside estuaries, which represent dampened or otherwise unrepresentative pictures of meteotsunami intensity. This work is the first hydrodynamic modeling of meteotsunami-induced coastal flooding for the Great Lakes, and serves as a template to guide where resources may be most beneficial in forecast system development and implementation.",https://doi.org/10.1007/s11069-021-05007-x,10.1007/s11069-021-05007-x,"Huang, Chenfu; Anderson, Eric; Liu, Yi; Ma, Gangfeng; Mann, Greg; Xue, Pengfei",NATURAL HAZARDS,Great lakes; Meteotsunami; Coastal flooding; Hydrodynamics; Lake Michigan; Coastal hazards,HYDRODYNAMIC MODEL; LAKE-MICHIGAN; SWAN MODEL; CLIMATE; SIMULATION; WAVES,,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0921-030X,1573-0840,,NAT HAZARDS,Nat. Hazards,,,,,,,,
