"result_num","freshwater","forecast","uncertainty","nearterm","model_approach","hydrological"
428,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
429,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
430,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
431,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
432,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
433,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
434,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
435,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
437,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
438,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
440,"yes; surface water","none of the above",NA,NA,NA,"yes"
441,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
442,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
443,"yes; surface water","none of the above",NA,NA,NA,"yes"
444,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
445,"yes; surface water","forecast","yes","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","yes"
446,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
447,"yes; groundwater","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
448,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
449,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
450,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
451,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
452,"yes; surface water","hindcast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","no"
453,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
455,"yes; surface water","none of the above",NA,NA,NA,"yes"
456,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
457,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
458,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
459,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
460,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
461,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
463,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), empirical model but not a time series model (e.g. multiple regression)","yes"
464,"yes; surface water","none of the above",NA,NA,NA,"yes"
465,"yes; surface water","none of the above",NA,NA,NA,"yes"
467,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
468,"yes; groundwater","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","no"
469,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
470,"yes; surface water","none of the above",NA,NA,NA,"no"
471,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
472,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
473,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
474,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
475,"yes; surface water","none of the above",NA,NA,NA,"yes"
477,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
478,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
479,"yes; surface water","forecast","yes","yes","time series model (e.g. ARIMA)","yes"
480,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
481,"yes; surface water","none of the above",NA,NA,NA,"yes"
482,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
483,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
484,"yes; surface water","hindcast","no","yes","other","yes"
486,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model), empirical model but not a time series model (e.g. multiple regression)","yes"
487,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
488,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","yes"
492,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
494,"yes; surface water","forecast","yes","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","yes"
495,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
496,"yes; surface water","none of the above",NA,NA,NA,"no"
497,"yes; surface water","none of the above",NA,NA,NA,"no"
498,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
499,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
501,"yes; surface water","none of the above",NA,NA,NA,"no"
503,"yes; surface water","none of the above",NA,NA,NA,"no"
504,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
505,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
508,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
509,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
510,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
511,"yes; surface water","none of the above",NA,NA,NA,"no"
513,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
514,"yes; surface water","forecast","yes","yes","numerical","yes"
515,"yes; surface water","forecast","yes","no","empirical","no"
516,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
517,"yes; surface water","forecast","yes","yes","process-based","yes"
518,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
519,"yes; surface water","none of the above",NA,NA,NA,"yes"
521,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
522,"yes; surface water","none of the above",NA,NA,NA,"yes"
523,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
524,"yes; surface water","forecast","yes","yes","machine","yes"
525,"yes; surface water","forecast","yes","yes","process-based","yes"
527,"yes; groundwater","none of the above",NA,NA,NA,"yes"
529,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
530,"yes; surface water","forecast","yes","yes","numerical","yes"
531,"yes; surface water","forecast","yes","yes","machine","yes"
532,"yes; surface water","forecast","yes","yes","numerical","yes"
533,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
534,"yes; surface water","none of the above",NA,NA,NA,"yes"
535,"yes; surface water","none of the above",NA,NA,NA,"yes"
537,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
538,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
540,"yes; surface water","none of the above",NA,NA,NA,"no"
542,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
544,"yes; surface water","forecast","yes","yes","empirical","yes"
545,"yes; surface water","none of the above",NA,NA,NA,"yes"
546,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
547,"yes; surface water","none of the above",NA,NA,NA,"yes"
548,"yes; surface water","forecast","yes","yes","ARIMA, machine","yes"
549,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
550,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
551,"yes; surface water","forecast","yes","yes","process-based","yes"
553,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
554,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
555,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model); machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
556,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
557,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
558,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
559,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
563,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
563,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
564,"yes; surface water","forecast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model), empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
566,"yes; surface water","forecast","yes","yes","machine","yes"
567,"yes; surface water","forecast","yes","yes","machine","yes"
569,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
570,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","no"
571,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
572,"yes; surface water","forecast","yes","yes","process-based","yes"
574,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
576,"yes; groundwater","none of the above",NA,NA,NA,"no"
577,"yes; surface water","none of the above",NA,NA,NA,"yes"
578,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
582,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
583,"no",NA,NA,NA,NA,NA
584,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
585,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
587,"yes; surface water","forecast","yes","yes","empirical","yes"
588,"yes; surface water","hindcast","yes","yes","process-based","yes"
589,"yes; surface water","forecast","yes","yes","machine","yes"
590,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
591,"yes; surface water","forecast","can't tell","yes","empirical","yes"
592,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
593,"yes; surface water","forecast","yes","yes","process-based","yes"
594,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
596,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
597,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
601,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
602,"yes; surface water","hindcast","yes","yes","empirical, machine","yes"
604,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
605,"yes; surface water","none of the above",NA,NA,NA,"no"
606,"yes; surface water","forecast","yes","yes","empirical","yes"
607,"yes; surface water","none of the above",NA,NA,NA,"yes"
608,"yes; surface water","forecast","yes","yes","numerical","yes"
609,"yes; surface water","forecast","yes","yes","empirical","yes"
610,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
611,"yes; surface water","none of the above",NA,NA,NA,"no"
612,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
613,"yes; surface water","forecast","yes","yes","numerical","yes"
614,"yes; surface water","none of the above",NA,NA,NA,"yes"
615,"yes; surface water","hindcast","yes","yes","numerical","yes"
616,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
617,"yes; surface water","forecast","yes","yes","empirical, machine","yes"
618,"yes; surface water","forecast","yes","yes","machine","yes"
619,"yes; surface water","forecast","yes","yes","empirical, process-based","yes"
620,"yes; surface water","none of the above",NA,NA,NA,"no"
621,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","yes"
624,"yes; surface water","none of the above",NA,NA,NA,"no"
625,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
627,"yes; surface water","forecast","yes","yes","numerical","yes"
628,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
629,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
630,"yes; surface water","none of the above",NA,NA,NA,"no"
631,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
633,"yes; surface water","forecast","yes","yes","machine","yes"
634,"yes; surface water","hindcast","yes","yes","empirical","yes"
635,"yes; surface water","forecast","yes","yes","numerical","yes"
636,"yes; surface water","forecast","yes","yes","numerical","yes"
637,"yes; surface water","forecast","yes","yes","machine","no"
639,"yes; surface water","forecast","yes","yes","machine","yes"
640,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
641,"yes; surface water","none of the above",NA,NA,NA,"yes"
643,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
645,"yes; surface water","forecast","yes","yes","numerical","yes"
646,"yes; surface water","forecast","yes","yes","empirical, machine","yes"
647,"yes; surface water","forecast","yes","yes","numerical","yes"
648,"yes; groundwater","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
649,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","no"
650,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
651,"yes; surface water","forecast","yes","yes","empirical","yes"
652,"yes; surface water","none of the above",NA,NA,NA,"yes"
653,"yes; surface water","hindcast","yes","yes","numerical","yes"
654,"yes; surface water","none of the above",NA,NA,NA,"yes"
655,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
656,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
657,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
658,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
659,"no",NA,NA,NA,NA,NA
660,"yes; surface water","none of the above",NA,NA,NA,"no"
666,"yes; surface water","none of the above",NA,NA,NA,"yes"
668,"yes; surface water","forecast","no","yes","machine","no"
669,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
671,"yes; surface water","forecast","yes","yes","empirical","yes"
672,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
673,"yes; surface water","forecast","yes","yes","process-based","yes"
677,"yes; surface water","forecast","yes","yes","machine","yes"
679,"yes; surface water","forecast","yes","yes","numerical","yes"
680,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
681,"yes; surface water","none of the above",NA,NA,NA,"yes"
682,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
683,"yes; surface water","none of the above",NA,NA,NA,"yes"
684,"yes; surface water","forecast","yes","yes","numerical","yes"
685,"yes; surface water","forecast","yes","yes","process-based","yes"
686,"yes; surface water","forecast","yes","yes","machine","yes"
687,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
688,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
689,"no",NA,NA,NA,NA,NA
691,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
692,"yes; surface water","none of the above",NA,NA,NA,"yes"
693,"yes; surface water","hindcast","no","yes","time series model (e.g. ARIMA)","yes"
695,"yes; surface water","forecast","yes","yes","machine","yes"
696,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
698,"yes; surface water","none of the above",NA,NA,NA,"yes"
700,"yes; surface water","forecast","yes","yes","empirical, machine","yes"
702,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
705,"yes; surface water","forecast","yes","yes","empirical, process-based","yes"
706,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
707,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
709,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
710,"yes; surface water","forecast","yes","yes","numerical","yes"
711,"yes; surface water","none of the above",NA,NA,NA,"no"
712,"no",NA,NA,NA,NA,NA
713,"yes; groundwater","none of the above",NA,NA,NA,"yes"
714,"yes; groundwater","none of the above",NA,NA,NA,"yes"
715,"yes; surface water","hindcast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
716,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
717,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
718,"yes; surface water","forecast","yes","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
719,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
720,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
721,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
722,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
723,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
724,"yes; surface water","hindcast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
725,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
726,"yes; surface water","none of the above",NA,NA,NA,"yes"
727,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
728,"no",NA,NA,NA,NA,NA
729,"yes; surface water","none of the above",NA,NA,NA,"yes"
730,"no",NA,NA,NA,NA,NA
731,"yes; surface water","none of the above",NA,NA,NA,"no"
732,"yes; surface water","none of the above",NA,NA,NA,"yes"
733,"yes; surface water","none of the above",NA,NA,NA,"yes"
734,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
735,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
736,"yes; groundwater","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
737,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
738,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
739,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
740,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
741,"yes; surface water","none of the above",NA,NA,NA,"no"
742,"yes; surface water","none of the above",NA,NA,NA,"no"
743,"yes; surface water","hindcast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
744,"yes; groundwater","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
745,"yes; surface water","hindcast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
746,"no",NA,NA,NA,NA,NA
747,"no",NA,NA,NA,NA,NA
748,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","yes"
749,"no",NA,NA,NA,NA,NA
750,"yes; surface water","hindcast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
751,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
752,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), empirical model but not a time series model (e.g. multiple regression)","yes"
753,"no",NA,NA,NA,NA,NA
754,"no",NA,NA,NA,NA,NA
755,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
756,"yes; surface water","none of the above",NA,NA,NA,"yes"
757,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
758,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
759,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
760,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
761,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","no"
762,"no",NA,NA,NA,NA,NA
763,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
764,"yes; surface water","none of the above",NA,NA,NA,"yes"
765,"yes; surface water","hindcast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
766,"yes; surface water","none of the above",NA,NA,NA,"no"
767,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
768,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
769,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
770,"yes; surface water","none of the above",NA,NA,NA,"yes"
771,"yes; surface water","none of the above",NA,NA,NA,"yes"
772,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
773,"yes; surface water","none of the above",NA,NA,NA,"no"
774,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
775,"yes; surface water","none of the above",NA,NA,NA,"yes"
776,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
777,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
778,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
779,"yes; surface water","none of the above",NA,NA,NA,"yes"
780,"yes; surface water","hindcast","no","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
781,"yes; surface water","none of the above",NA,NA,NA,"yes"
782,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
783,"no",NA,NA,NA,NA,NA
784,"no",NA,NA,NA,NA,NA
785,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model)","yes"
786,"yes; surface water","none of the above",NA,NA,NA,"yes"
787,"yes; surface water","none of the above",NA,NA,NA,"no"
788,"yes; surface water","forecast","yes","yes","time series model (e.g. ARIMA)","yes"
789,"yes; surface water","none of the above",NA,NA,NA,"yes"
790,"yes; surface water","forecast","yes","yes","process-based but not ecosystem simulation (e.g. age-structured population model), empirical model but not a time series model (e.g. multiple regression)","yes"
791,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
792,"yes; surface water","none of the above",NA,NA,NA,"yes"
793,"yes; groundwater","none of the above",NA,NA,NA,"no"
794,"no",NA,NA,NA,NA,NA
795,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
796,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
797,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
798,"yes; surface water","nowcast","no","yes","empirical model but not a time series model (e.g. multiple regression)","no"
799,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
800,"no",NA,NA,NA,NA,NA
801,"no",NA,NA,NA,NA,NA
802,"yes; surface water","none of the above",NA,NA,NA,"no"
803,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
804,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
805,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
806,"yes; surface water","forecast","yes","yes","empirical model but not a time series model (e.g. multiple regression)","yes"
807,"yes; surface water","none of the above",NA,NA,NA,"no"
808,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
809,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
810,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
811,"yes; surface water","forecast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
812,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
813,"no",NA,NA,NA,NA,NA
814,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
815,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
816,"no",NA,NA,NA,NA,NA
817,"yes; surface water","forecast","yes","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
818,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
819,"yes; surface water","none of the above",NA,NA,NA,"yes"
820,"yes; surface water","hindcast","yes","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
821,"yes; surface water","can't tell","can't tell","can't tell",NA,"yes"
822,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
823,"no",NA,NA,NA,NA,NA
824,"yes; surface water","none of the above",NA,NA,NA,"yes"
825,"yes; surface water","none of the above",NA,NA,NA,"yes"
826,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
